Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",25-02-2023,16:00:00,229,152,14,2,27,42,43,229,Very Unhealthy
Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",25-02-2023,16:00:00,159,NA,84,NA,6,22,151,159,Unhealthy
Bihar,Patna,"Muradpur, Patna - BSPCB",25-02-2023,16:00:00,310,304,43,1,16,63,156,310,Hazardous
Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",25-02-2023,16:00:00,221,132,126,9,37,47,35,221,Very Unhealthy
Bihar,Patna,"Samanpura, Patna - BSPCB",25-02-2023,16:00:00,280,310,13,6,11,54,115,310,Hazardous
Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",25-02-2023,16:00:00,223,140,36,8,10,72,25,223,Very Unhealthy
Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",25-02-2023,16:00:00,160,149,67,9,NA,83,17,160,Unhealthy
Bihar,Saharsa,"Police Line, Saharsa - BSPCB",25-02-2023,16:00:00,276,274,9,4,14,46,78,276,Very Unhealthy
Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",25-02-2023,16:00:00,259,279,70,10,14,51,4,279,Very Unhealthy
Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",25-02-2023,16:00:00,100,116,46,4,20,45,90,116,Sensitive groups
Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",25-02-2023,16:00:00,219,172,55,6,19,47,83,219,Very Unhealthy
Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",25-02-2023,16:00:00,103,120,58,5,26,56,63,120,Sensitive groups
Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",25-02-2023,16:00:00,156,131,25,16,13,29,21,156,Unhealthy
Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",25-02-2023,16:00:00,118,133,46,5,22,62,60,133,Sensitive groups
Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",25-02-2023,16:00:00,NA,NA,NA,NA,NA,40,101,NA,NA
